ontology,class,algorithm,selection_type,auroc,auprc,time_sec
BP,GO:0007005,naive_bayes,PCA,0.7011,0.0093,8.925
BP,GO:0007010,naive_bayes,PCA,0.848,0.0732,8.597
BP,GO:0007015,naive_bayes,PCA,0.8265,0.0311,8.703
BP,GO:0007017,naive_bayes,PCA,0.8488,0.0547,9.281
BP,GO:0007018,naive_bayes,PCA,0.7841,0.0172,8.627
BP,GO:0007033,naive_bayes,PCA,0.6657,0.0061,8.554
BP,GO:0007040,naive_bayes,PCA,0.6712,0.0066,8.85
BP,GO:0007044,naive_bayes,PCA,0.4652,0.0014,8.665
BP,GO:0007049,naive_bayes,PCA,0.8761,0.0519,8.423
BP,GO:0007051,naive_bayes,PCA,0.9012,0.0619,9.064
BP,GO:0007052,naive_bayes,PCA,0.8155,0.1105,9.013
BP,GO:0007059,naive_bayes,PCA,0.8668,0.0713,8.482
BP,GO:0007088,naive_bayes,PCA,0.8727,0.0374,8.45
BP,GO:0007097,naive_bayes,PCA,0.6773,0.0062,8.296
BP,GO:0007154,naive_bayes,PCA,0.6584,0.0154,8.591
BP,GO:0007155,naive_bayes,PCA,0.5501,0.0023,8.518
BP,GO:0007163,naive_bayes,PCA,0.7957,0.0148,9.101
BP,GO:0007165,naive_bayes,PCA,0.7991,0.0552,8.762
BP,GO:0007166,naive_bayes,PCA,0.8036,0.0361,8.505
BP,GO:0007167,naive_bayes,PCA,0.7936,0.019,8.643
BP,GO:0007169,naive_bayes,PCA,0.8635,0.05,7.292
BP,GO:0007178,naive_bayes,PCA,0.5364,0.0026,8.069
BP,GO:0007179,naive_bayes,PCA,0.5364,0.0026,8.483
BP,GO:0007186,naive_bayes,PCA,0.8268,0.0899,8.409
BP,GO:0007212,naive_bayes,PCA,0.806,0.0197,7.983
BP,GO:0007218,naive_bayes,PCA,0.8962,0.115,8.811
BP,GO:0007264,naive_bayes,PCA,0.8215,0.0137,8.654
BP,GO:0007267,naive_bayes,PCA,0.6809,0.0391,8.955
BP,GO:0007268,naive_bayes,PCA,0.7015,0.0216,8.59
BP,GO:0007271,naive_bayes,PCA,0.7,0.0202,8.555
BP,GO:0007275,naive_bayes,PCA,0.7554,0.0797,8.796
BP,GO:0007276,naive_bayes,PCA,0.7526,0.0107,7.945
BP,GO:0007281,naive_bayes,PCA,0.782,0.0191,8.098
BP,GO:0007283,naive_bayes,PCA,0.7204,0.0056,8.953
BP,GO:0007286,naive_bayes,PCA,0.734,0.0083,8.578
BP,GO:0007292,naive_bayes,PCA,0.8291,0.0062,8.659
BP,GO:0007346,naive_bayes,PCA,0.8556,0.0348,8.935
BP,GO:0007368,naive_bayes,PCA,0.665,0.0032,7.784
BP,GO:0007369,naive_bayes,PCA,0.5636,0.005,8.734
BP,GO:0007389,naive_bayes,PCA,0.7655,0.0244,8.954
BP,GO:0007411,naive_bayes,PCA,0.7915,0.0281,8.688
BP,GO:0007501,naive_bayes,PCA,0.7991,0.0165,8.59
BP,GO:0007517,naive_bayes,PCA,0.742,0.0083,8.954
